country,confederation,fifa_rank,fifa_rank_tier,fifa_points,elo_rating,squad_value_total_m,coach,coach_tenure_days,coach_success_rate,avg_player_age,players_top5_leagues,top_scorer_goals,squad_depth_score,avg_goals_scored_last10,avg_goals_conceded_last10,win_rate_last5,win_rate_last10,win_rate_last20,draw_rate_last10,home_win_rate_last20,away_win_rate_last20,clean_sheet_rate,avg_opponent_elo_last10,xg_difference,unbeaten_streak,world_cup_appearances,world_cup_titles,continental_titles,qualified_for_wc2026
France,UEFA,1,1,1877.32,2052,1050.0,Didier Deschamps,4927,0.72,26.8,22,14,9.5,2.1,0.9,0.8,0.7,0.65,0.1,0.78,0.55,0.4,1830,0.82,12,16,2,2,1
Spain,UEFA,2,1,1876.4,2041,950.0,Luis de la Fuente,847,0.78,25.9,21,12,9.8,2.3,0.8,0.8,0.8,0.72,0.1,0.85,0.62,0.5,1850,1.15,18,16,1,4,1
Argentina,CONMEBOL,3,1,1874.81,2038,950.0,Lionel Scaloni,2374,0.75,27.4,18,18,9.6,2.0,0.7,0.8,0.8,0.7,0.1,0.84,0.58,0.5,1820,0.94,18,19,3,15,1
England,UEFA,4,1,1825.97,1998,1150.0,Thomas Tuchel,253,0.68,26.5,26,16,9.4,2.0,0.9,0.6,0.7,0.65,0.15,0.78,0.55,0.4,1800,0.71,9,17,1,3,1
Portugal,UEFA,5,1,1763.83,1942,780.0,Roberto Martinez,1005,0.68,27.6,22,15,9.2,2.2,0.8,0.8,0.7,0.68,0.1,0.78,0.58,0.4,1790,0.88,11,9,0,2,1
Brazil,CONMEBOL,6,1,1761.16,1940,900.0,Carlo Ancelotti,365,0.68,26.2,17,11,9.1,1.8,1.0,0.6,0.6,0.58,0.2,0.7,0.48,0.3,1780,0.45,7,22,5,9,1
Netherlands,UEFA,7,1,1757.87,1936,700.0,Ronald Koeman,757,0.62,26.8,20,13,9.0,1.9,0.8,0.6,0.7,0.63,0.1,0.78,0.52,0.4,1790,0.72,10,11,1,1,1
Morocco,CAF,8,1,1755.87,1934,260.0,Walid Regragui,1015,0.65,26.4,14,9,8.5,1.7,0.7,0.8,0.7,0.65,0.15,0.78,0.56,0.5,1680,0.68,14,7,0,1,1
Belgium,UEFA,9,1,1734.71,1912,720.0,Rudi Garcia,300,0.55,28.1,22,10,8.8,1.7,0.9,0.6,0.6,0.58,0.1,0.68,0.5,0.3,1780,0.42,8,14,0,0,1
Germany,UEFA,10,1,1730.37,1908,840.0,Julian Nagelsmann,605,0.62,26.0,22,14,9.0,2.1,1.1,0.6,0.6,0.6,0.2,0.7,0.52,0.3,1800,0.52,8,20,4,3,1
Croatia,UEFA,11,1,1890.3,2047,1171.0,Zlatko Dalic,2952,0.55,26.0,23,20,9.9,2.47,0.77,0.92,0.9,0.91,0.09,0.92,0.82,0.57,1905,1.68,18,7,0,0,1
Italy,UEFA,12,1,1861.02,2036,1090.8,Luciano Spalletti,739,0.52,26.7,26,17,9.1,2.39,0.73,0.56,0.65,0.65,0.09,0.63,0.47,0.66,1692,1.01,26,18,4,2,0
Colombia,CONMEBOL,13,1,1910.86,2035,1108.8,Nestor Lorenzo,1215,0.67,26.7,26,16,9.3,2.5,0.81,0.71,0.85,0.84,0.12,0.92,0.77,0.52,1785,1.46,21,7,0,2,1
Senegal,CAF,14,1,1857.28,2055,1143.0,Aliou Cisse,2374,0.6,25.8,24,18,10.0,2.42,0.65,1.0,0.91,0.92,0.09,1.0,0.72,0.59,1781,0.98,19,4,0,1,1
Mexico,CONCACAF,15,1,1848.08,2047,1101.8,Javier Aguirre,668,0.55,26.3,23,18,10.0,2.58,0.91,0.57,0.61,0.54,0.09,0.72,0.62,0.47,1800,1.14,20,17,0,11,1
USA,CONCACAF,16,2,1816.76,2031,1250.0,Mauricio Pochettino,547,0.58,26.9,26,20,9.6,2.68,0.82,0.92,0.91,0.88,0.09,1.0,0.75,0.58,1739,1.46,23,11,0,8,1
Uruguay,CONMEBOL,17,2,1860.87,2047,942.9,Marcelo Bielsa,819,0.57,26.3,21,17,10.0,2.34,0.89,0.71,0.83,0.8,0.07,0.94,0.81,0.57,1620,1.25,21,14,2,15,1
Japan,AFC,18,2,1827.93,2060,881.5,Hajime Moriyasu,2253,0.65,25.9,24,14,10.0,2.41,1.04,0.92,0.81,0.82,0.14,0.91,0.74,0.49,1735,1.14,21,8,0,4,1
Switzerland,UEFA,19,2,1830.85,1993,1088.8,Murat Yakin,1124,0.58,27.7,21,16,9.3,2.74,1.06,0.92,0.84,0.86,0.1,1.0,0.74,0.43,1828,1.06,20,13,0,0,1
Denmark,UEFA,20,2,1828.81,1974,957.6,Brian Riemer,666,0.57,25.0,21,18,9.5,2.08,0.93,0.74,0.79,0.81,0.03,0.92,0.71,0.57,1749,1.26,18,6,0,0,1
Iran,AFC,21,2,1794.39,2006,1175.7,Amir Ghalenoei,821,0.52,26.1,24,17,9.1,2.25,0.66,0.6,0.83,0.8,0.02,0.96,0.72,0.54,1793,1.43,20,6,0,3,1
Turkey,UEFA,22,2,1814.36,1997,988.2,Vincenzo Montella,811,0.57,25.9,20,15,8.9,2.22,1.01,0.72,0.82,0.84,0.18,0.9,0.62,0.57,1696,1.0,17,4,0,0,1
Ecuador,CONMEBOL,23,2,1770.6,1997,1050.3,Sebastian Beccacece,475,0.5,26.7,23,20,8.8,2.4,1.15,0.7,0.66,0.65,0.16,0.77,0.69,0.63,1730,1.14,23,4,0,0,1
